belongs_to_collection,budget,genres,original_title,month,runtime,vote_average,revenue
"{'id': 466004, 'name': 'A Few Best Men Collection', 'poster_path': None, 'backdrop_path': None}",12468389,"[{'id': 35, 'name': 'Comedy'}]",A Few Best Men,10,97,5.9,29007412
,100000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",A Ghost Story,7,92,6.8,15584255
,1000000,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",A Girl Walks Home Alone at Night,1,99,6.9,395000
"{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}",92000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",A Good Day to Die Hard,2,98,5.2,304654182
,35000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",A Good Year,9,118,6.5,42064105
,20000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",A Guy Thing,1,101,5.3,17432163
"{'id': 251937, 'name': 'A Haunted House Collection', 'poster_path': '/ycm511kfyzVVjRU70nxtAGjAPbQ.jpg', 'backdrop_path': '/5NTJZ571646mTziTOGt0jnq7uKe.jpg'}",2500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",A Haunted House,1,86,5.4,60141683
,32000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",A History of Violence,9,96,6.9,60740827
,30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",A Hologram for the King,4,97,5.8,4212494
,6500000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",A Home at the End of the World,7,96,6.8,1548955
,65000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 28, 'name': 'Action'}]",A Knight's Tale,5,132,6.6,117487473
,4000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",A Lonely Place to Die,4,99,6.2,25345000
,30000000,"[{'id': 35, 'name': 'Comedy'}]",A Lot Like Love,4,107,6.5,42886719
,36000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",A Man Apart,4,109,5.8,44350926
,16000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",A Mighty Heart,1,100,6.7,18928871
,6000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",A Mighty Wind,4,91,6.6,18750246
